2023-02-10-19-32: epoch: 1 |loss 11.394095 | hm_loss 1.106928 | wh_loss 1.780427 | off_loss 0.234868 | id_loss 11.085354 | time 40.033333 | 
2023-02-10-20-08: epoch: 2 |loss 4.220638 | hm_loss 0.961990 | wh_loss 1.260390 | off_loss 0.230045 | id_loss 10.421369 | time 35.666667 | 
2023-02-10-20-44: epoch: 3 |loss 2.581628 | hm_loss 0.923250 | wh_loss 1.147754 | off_loss 0.228893 | id_loss 9.830514 | time 35.566667 | 
2023-02-10-21-19: epoch: 4 |loss 2.248159 | hm_loss 0.901242 | wh_loss 1.115980 | off_loss 0.227866 | id_loss 9.381223 | time 35.300000 | 
2023-02-10-21-54: epoch: 5 |loss 2.196323 | hm_loss 0.880930 | wh_loss 1.092464 | off_loss 0.227003 | id_loss 8.991136 | time 34.800000 | 
2023-02-10-22-28: epoch: 6 |loss 2.168801 | hm_loss 0.861970 | wh_loss 1.070599 | off_loss 0.225940 | id_loss 8.666228 | time 34.283333 | 
2023-02-10-23-03: epoch: 7 |loss 2.137484 | hm_loss 0.842334 | wh_loss 1.045479 | off_loss 0.224987 | id_loss 8.300311 | time 34.666667 | 
2023-02-10-23-37: epoch: 8 |loss 2.107079 | hm_loss 0.825048 | wh_loss 1.030709 | off_loss 0.224167 | id_loss 7.943425 | time 34.533333 | 
2023-02-11-00-12: epoch: 9 |loss 2.079661 | hm_loss 0.812592 | wh_loss 1.017886 | off_loss 0.223611 | id_loss 7.613942 | time 34.550000 | 
2023-02-11-00-47: epoch: 10 |loss 2.051480 | hm_loss 0.799492 | wh_loss 1.000113 | off_loss 0.223088 | id_loss 7.294171 | time 34.716667 | 
2023-02-11-01-22: epoch: 11 |loss 2.027248 | hm_loss 0.790716 | wh_loss 0.994033 | off_loss 0.222618 | id_loss 7.013457 | time 34.716667 | 
2023-02-11-01-56: epoch: 12 |loss 2.001960 | hm_loss 0.779527 | wh_loss 0.984173 | off_loss 0.222253 | id_loss 6.740599 | time 34.583333 | 
2023-02-11-02-31: epoch: 13 |loss 1.976553 | hm_loss 0.769173 | wh_loss 0.981989 | off_loss 0.221740 | id_loss 6.474667 | time 34.633333 | 
2023-02-11-03-06: epoch: 14 |loss 1.953760 | hm_loss 0.762392 | wh_loss 0.969764 | off_loss 0.221478 | id_loss 6.231728 | time 34.666667 | 
2023-02-11-03-40: epoch: 15 |loss 1.932819 | hm_loss 0.757407 | wh_loss 0.969194 | off_loss 0.220825 | id_loss 6.010634 | time 34.700000 | 
2023-02-11-04-16: epoch: 16 |loss 1.909383 | hm_loss 0.751017 | wh_loss 0.957403 | off_loss 0.220726 | id_loss 5.773621 | time 34.966667 | 
2023-02-11-04-50: epoch: 17 |loss 1.887325 | hm_loss 0.742880 | wh_loss 0.948430 | off_loss 0.220253 | id_loss 5.576086 | time 34.616667 | 
2023-02-11-05-25: epoch: 18 |loss 1.866355 | hm_loss 0.738541 | wh_loss 0.947692 | off_loss 0.219878 | id_loss 5.369976 | time 34.583333 | 
2023-02-11-06-00: epoch: 19 |loss 1.845483 | hm_loss 0.733541 | wh_loss 0.943061 | off_loss 0.219742 | id_loss 5.179492 | time 34.783333 | 
2023-02-11-06-34: epoch: 20 |loss 1.822872 | hm_loss 0.726226 | wh_loss 0.933498 | off_loss 0.218987 | id_loss 4.995299 | time 34.416667 | 
2023-02-11-07-09: epoch: 21 |loss 1.704360 | hm_loss 0.685100 | wh_loss 0.866211 | off_loss 0.216614 | id_loss 4.029725 | time 35.116667 | 
2023-02-11-07-44: epoch: 22 |loss 1.687664 | hm_loss 0.676031 | wh_loss 0.861368 | off_loss 0.215590 | id_loss 4.002013 | time 34.683333 | 
2023-02-11-08-19: epoch: 23 |loss 1.679378 | hm_loss 0.669600 | wh_loss 0.856268 | off_loss 0.215480 | id_loss 3.993195 | time 34.900000 | 
2023-02-11-08-54: epoch: 24 |loss 1.674376 | hm_loss 0.668327 | wh_loss 0.853530 | off_loss 0.215288 | id_loss 3.970133 | time 34.566667 | 
2023-02-11-09-28: epoch: 25 |loss 1.670300 | hm_loss 0.666298 | wh_loss 0.846636 | off_loss 0.215084 | id_loss 3.953315 | time 34.466667 | 
2023-02-11-10-03: epoch: 26 |loss 1.666392 | hm_loss 0.661781 | wh_loss 0.847837 | off_loss 0.214802 | id_loss 3.942927 | time 34.633333 | 
2023-02-11-10-38: epoch: 27 |loss 1.663621 | hm_loss 0.661883 | wh_loss 0.846049 | off_loss 0.215046 | id_loss 3.920851 | time 34.783333 | 
2023-02-11-11-13: epoch: 28 |loss 1.659446 | hm_loss 0.659604 | wh_loss 0.842007 | off_loss 0.214752 | id_loss 3.900507 | time 34.883333 | 
2023-02-11-11-48: epoch: 29 |loss 1.656097 | hm_loss 0.657637 | wh_loss 0.842846 | off_loss 0.214641 | id_loss 3.882643 | time 34.966667 | 
2023-02-11-12-23: epoch: 30 |loss 1.652891 | hm_loss 0.655662 | wh_loss 0.843327 | off_loss 0.214452 | id_loss 3.866436 | time 34.950000 | 
